id,rank,frequency,active_count,ablation_mse_increase,additive_benefit_share,output_energy
278,128,0.00029119062708757987,17,4.397563088366671e-05,7.043459444822107e-05,4.355956650440222e-05
1088,64,0.0004967369520905774,29,4.211736555079303e-05,7.030450270809635e-05,2.7642537629632315e-05
2386,32,0.0003425772083383293,20,4.6129961289279485e-05,7.027271114265719e-05,5.000344551948475e-05
2069,32,0.00018841746458608108,11,3.990116488727125e-05,7.024830758776091e-05,3.90333736958287e-05
2463,32,0.0003254483479214128,19,3.9774582160195887e-05,7.022459255987366e-05,4.769863632869154e-05
2272,32,0.0006508966958428256,38,3.1009987278690795e-05,7.01314422937812e-05,3.307909319635649e-05
2304,32,0.0019526900875284766,114,3.044345825393867e-05,7.00466604768685e-05,3.182228420568034e-05
2363,32,0.00010277316250149878,6,4.959759021019352e-05,6.989040430430947e-05,4.308524744105656e-05
171,256,0.00039396378958907863,23,3.8595079568283744e-05,6.987344243162794e-05,4.242221200268703e-05
892,64,0.0003425772083383293,20,1.7391959674368862e-05,6.983975232385806e-05,2.838697047916481e-05
1791,32,0.00022267518541991402,13,3.850689555284035e-05,6.96887290377859e-05,3.849423768245472e-05
8,512,0.00015415974375224817,9,3.999375581916938e-05,6.967062984004197e-05,5.2781550874159746e-05
2369,32,0.0002398040458368305,14,4.1304534851746154e-05,6.961323174329262e-05,3.6856313152067876e-05
1378,32,0.0003597060687552457,21,3.938311750037324e-05,6.9535508394211e-05,3.9362045413443446e-05
1237,32,0.0006337678354259091,37,4.086658503805423e-05,6.951166801961965e-05,4.551704037591946e-05
2471,32,0.0003254483479214128,19,4.2013560629514186e-05,6.950064454856725e-05,3.5810343471579436e-05
2425,32,0.00022267518541991402,13,4.432504393557369e-05,6.92110270632154e-05,4.915888146615278e-05
2216,32,0.0006680255562597421,39,3.253706058010029e-05,6.913185451131086e-05,2.608059416637132e-05
1558,32,0.0005138658125074939,30,3.404441564768286e-05,6.910721095673168e-05,2.7195460806851667e-05
1041,64,0.0003425772083383293,20,3.8516992588445554e-05,6.910238098003396e-05,3.571650635634404e-05
242,128,0.00039396378958907863,23,4.130864516506807e-05,6.879216947789952e-05,3.759685269963106e-05
